Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"8770-1","Castle","Knights' Kingdom II",2004,"Danju",,42,5.99,,,,5702014365926,,10.2,17.3,7.2,,"",0,0,0,,0,0,,,,,,,,,13.5500,5.6400,"01/01/2004","31/12/2004"
"8771-1","Castle","Knights' Kingdom II",2004,"Jayko",,45,5.99,,,,5702014365933,,10.2,17.3,7.2,,"",0,0,0,,0,0,,,,,,,,,17.8000,4.4800,"01/01/2004","31/12/2004"
"8772-1","Castle","Knights' Kingdom II",2004,"Rascus",,46,5.99,,,,5702014365940,,10.2,17.3,7.2,,"",0,0,0,,0,0,,,,,,,,,18.0000,4.0200,"01/01/2004","31/12/2004"
"8773-1","Castle","Knights' Kingdom II",2004,"Santis",,46,5.99,,,,5702014365957,,10.2,17.3,7.2,,"",0,0,0,,0,0,,,,,,,,,12.2000,7.3000,"01/01/2004","31/12/2004"
"8774-1","Castle","Knights' Kingdom II",2004,"Vladek",,48,5.99,,,,5702014365964,,10.2,17.3,7.2,,"",0,0,0,,0,0,,,,,,,,,15.6100,5.1200,"01/01/2004","31/12/2004"
"8777-1","Castle","Knights' Kingdom II",2004,"Vladek Encounter",2,42,4.99,9,,,5702014367739,673419034760,14.4,14.4,4.8,0.1,"",0,0,0,,0,0,,,,,,,,,74.9600,29.6400,"01/07/2004","31/12/2005"
"8778-1","Castle","Knights' Kingdom II",2004,"Border Ambush",2,177,14.99,20,,,5702014366091,673419034326,28.8,19.2,6,0.35,"",0,0,0,,0,0,,,,,,,,,98.7400,26.4800,"01/07/2004","31/12/2005"
"8779-1","Castle","Knights' Kingdom II",2004,"The Grand Tournament",3,312,24.99,30,,,5702014366107,673419034333,33.6,24,7.2,0.64,"",0,0,0,,0,0,,,,,,,,,65.3000,19.9800,"01/07/2004","31/12/2005"
"8780-1","Castle","Knights' Kingdom II",2004,"Citadel of Orlan",4,442,39.99,50,,,5702014366145,673419034340,38.4,28.8,9.6,1.15,"",0,0,0,,0,0,,,,,,,,,187.1300,60.9100,"01/07/2004","31/12/2005"
"8781-1","Castle","Knights' Kingdom II",2004,"The Castle of Morcia",8,637,69.99,90,,,5702014366152,673419034357,57.6,38.4,11.4,2.4,"",0,0,0,,0,0,,,,,,,,,263.8000,165.0900,"01/07/2004","31/12/2005"
"8782-1","Castle","Knights' Kingdom II",2004,"Danju",,46,,8,,,,673419053785,10.2,21.1,7.2,,"",0,0,0,,0,0,,,,,,,,,24.6400,9.2100,"01/07/2004","31/10/2005"
"8783-1","Castle","Knights' Kingdom II",2004,"Jayko",,49,,8,,,,673419053792,10.2,21.1,7.2,,"",0,0,0,,0,0,,,,,,,,,32.6900,9.1000,"01/07/2004","31/10/2005"
"8784-1","Castle","Knights' Kingdom II",2004,"Rascus",,50,,8,,,,673419053808,10.2,21.1,7.2,,"",0,0,0,,0,0,,,,,,,,,24.6400,6.7500,"01/07/2004","31/10/2005"
"8785-1","Castle","Knights' Kingdom II",2004,"Santis",,50,,8,,,,673419053815,10.2,21.1,7.2,,"",0,0,0,,0,0,,,,,,,,,36.2300,3.9500,"01/07/2004","31/10/2005"
"8786-1","Castle","Knights' Kingdom II",2004,"Vladek",,52,,8,,,,673419060738,10.2,21.1,7.2,,"",0,0,0,,0,0,,,,,,,,,20.7400,8.3800,"01/07/2004","31/10/2005"
"8790-1","Castle","Knights' Kingdom II",2004,"King Mathias",,44,7.99,,,,5702014419698,,18.4,18.2,7.5,,"",0,0,0,,0,0,,,,,,,,,16.0500,9.7100,"01/09/2004","31/01/2005"
"8799-1","Castle","Knights' Kingdom II",2004,"Knights' Castle Wall",3,178,,20,,,5702014419780,,24,24,7.2,,"",0,0,0,,0,0,,,,,,,,,106.2600,41.3400,"01/08/2004","30/06/2005"
"8800-1","Castle","Knights' Kingdom II",2004,"Vladek's Siege Engine",2,192,,20,,,5702014426627,,24,24,7.2,,"",0,0,0,,0,0,,,,,,,,,69.4200,42.4100,"01/08/2004","30/06/2005"
"8809-1","Castle","Knights' Kingdom II",2004,"King Mathias",,44,,10,,,,673419059688,18.4,22.2,7.5,,"",0,0,0,,0,0,,,,,,,,,14.9900,14.9900,"15/09/2004","30/04/2005"
