Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"30183-1","Creator","Promotional",2013,"Little Car",,50,,,,,5702014966475,673419188807,14,14,1.2,,"",0,0,0,,0,0,,,,,,,,,2.5700,1.0900,"01/01/2013","31/12/2013"
"30184-1","Creator","Miscellaneous",2013,"Little Helicopter",,56,,,,,5702014966482,673419201773,17,17,1,,"",0,0,0,,0,0,,,,,,,,,4.8300,2.4600,"01/01/2013","31/12/2013"
"30185-1","Creator","Promotional",2013,"Little Eagle",,48,,,,,5702014966499,673419188821,17,17,0.7,,"",0,0,0,,0,0,,,,,,,,,8.9500,3.9900,"01/01/2013","31/12/2013"
"30186-1","Creator","Seasonal",2013,"Christmas Tree",,51,,,,,,673419188838,17,17,0.9,,"",0,0,0,,0,0,,,,,,,,,12.4000,5.5000,"01/06/2013","31/12/2013"
"30215-1","The Hobbit","The Desolation of Smaug",2013,"Legolas Greenleaf",1,33,,,,,5702015128032,673419212489,14,17,0.8,0.02,"",0,0,0,,0,0,,,,,,,,,16.5300,11.6200,"01/12/2013","31/12/2014"
"30216-1","The Hobbit","The Desolation of Smaug",2013,"Lake-town Guard",1,31,,4.99,,,,673419212496,14,17,0.8,,"",0,0,0,,0,0,,,,,,,,,28.8100,24.3300,"01/12/2013","31/12/2014"
"30220-1","City","Fire",2013,"Fire Speedboat",1,40,,,,,5702014960916,673419188180,17,17,1,,"",0,0,0,,0,0,,,,,,,,,4.8300,3.1800,"01/01/2013","31/12/2013"
"30221-1","City","Fire",2013,"Fire Car",1,36,,,,,5702014960893,673419188197,14,14,1.8,,"",0,0,0,,0,0,,,,,,,,,5.3800,3.1300,"01/01/2013","31/12/2013"
"30222-1","City","Elite Police",2013,"Police Helicopter",1,33,,,,,5702014960909,673419188203,17,17,1,,"",0,0,0,,0,0,,,,,,,,,4.2900,2.2200,"01/01/2013","31/12/2013"
"30224-1","City","General",2013,"Ride-On Lawn Mower",1,42,,,,,5702014974074,673419190732,14,14,1.1,,"",0,0,0,,0,0,,,,,,,,,17.2200,10.9900,"01/06/2013","31/12/2013"
"30225-1","City","Coast Guard",2013,"Coast Guard Seaplane",1,37,,3.99,,,5702014992405,673419189002,17,17,1.1,,"",0,0,0,,0,0,,,,,,,,,7.5000,2.9500,"01/06/2013","31/12/2013"
"30230-1","Space","Galaxy Squad",2013,"Mini Mech",1,28,,3.99,,,5702014967359,673419187817,,,,,"",0,0,0,,0,0,,,,,,,,,5.1500,4.8800,"",""
"30231-1","Space","Galaxy Squad",2013,"Space Insectoid",1,27,,3.49,,,5702014967366,673419187824,,,,,"",0,0,0,,0,0,,,,,,,,,6.7300,3.0000,"",""
"30240-1","Star Wars","The Clone Wars",2013,"Z-95 Headhunter",,54,,4.99,,,5702014966642,673419188135,17,17,0.8,,"",0,0,0,,0,0,,,,,,,,,6.3000,2.8200,"01/01/2013","31/12/2013"
"30241-1","Star Wars","The Clone Wars",2013,"Mandalorian Fighter",,49,,4.99,,,5702014966659,673419188142,17,17,0.8,,"",0,0,0,,0,0,,,,,,,,,14.1300,2.4600,"01/01/2013","31/12/2013"
"30242-1","Star Wars","The Clone Wars",2013,"Republic Frigate",,45,,4.99,6.99,,5702014966666,673419189255,17,17,0.7,,"",0,0,0,,0,0,,,,,,,,,12.9500,7.5000,"01/01/2013","31/12/2013"
"30243-1","Star Wars","The Clone Wars",2013,"Umbaran MHC",,49,,,,,,673419189262,14,14,1.2,,"",0,0,0,,0,0,,,,,,,,,8.8700,2.4900,"01/01/2013","31/12/2013"
"30250-1","Legends of Chima","Promotional",2013,"Ewar's Acro Fighter",1,33,,3.99,,,5702014976368,673419192286,14,14,0.8,,"",0,0,0,,0,0,,,,,,,,,4.4300,2.6200,"01/01/2013","31/12/2013"
"30251-1","Legends of Chima","Promotional",2013,"Winzar's Pack Patrol",1,38,,,,,5702014977464,673419192293,17,17,0.6,,"",0,0,0,,0,0,,,,,,,,,3.7100,3.2500,"01/01/2013","31/12/2013"
"30252-1","Legends of Chima","Promotional",2013,"Crug's Swamp Jet",1,23,,,,,5702014977679,,14,14,0.9,,"",0,0,0,,0,0,,,,,,,,,5.4400,1.7800,"01/01/2013","31/12/2013"
"30253-1","Legends of Chima","Promotional",2013,"Leonidas' Jungle Dragster",1,30,,,,,5702014977686,673419192316,17,17,0.7,,"",0,0,0,,0,0,,,,,,,,,5.7200,1.0800,"01/01/2013","31/12/2013"
"30254-1","Legends of Chima","Promotional",2013,"Razcal's Double-Crosser",1,36,,,,,,673419192323,17,17,0.8,,"",0,0,0,,0,0,,,,,,,,,6.5200,3.2600,"01/01/2013","31/12/2013"
"30255-1","Legends of Chima","Promotional",2013,"Crawley",1,11,,,,,5702015003025,673419200509,,,,,"",0,0,0,,0,0,,,,,,,,,4.7400,2.6700,"",""
"30260-1","The Lone Ranger","Promotional",2013,"Lone Ranger's Pump Car",1,24,,3.99,,,5702015008952,,14,14,0.7,,"",0,0,0,,0,0,,,,,,,,,10.4200,4.6300,"01/04/2013","31/12/2013"
"30261-1","The Lone Ranger","Promotional",2013,"Tonto's Campfire",1,20,,,,,,673419196802,17,17,0.5,0.01,"",0,0,0,,0,0,,,,,,,,,19.5500,9.4800,"01/04/2013","31/12/2013"
"30270-1","Teenage Mutant Ninja Turtles","TV Series",2013,"Kraang's Turtle Target Practice ",1,36,,3.99,,,,673419201957,14,14,0.8,,"",0,0,0,,0,0,,,,,,,,,5.3800,4.8400,"01/07/2013","31/12/2013"
"31000-1","Creator","3 in 1",2013,"Mini Speeder",,65,4.99,6.99,8.99,,5702014972032,673419189866,10.2,14.4,4.8,0.1,"",0,0,0,,0,0,,,,,,,,,6.3000,2.9500,"",""
"31001-1","Creator","3 in 1",2013,"Mini Skyflyer",,62,4.99,6.99,8.99,,5702014972049,673419189880,10.2,14.4,4.8,0.1,"",0,0,0,,0,0,,,,,,,,,11.0900,2.6900,"",""
"31002-1","Creator","3 in 1",2013,"Super Racer",,121,9.99,14.99,17.99,,5702014971943,673419189774,19.1,14.1,4.6,0.22,"",0,0,0,,0,0,,,,,,,,,15.3500,3.7400,"",""
"31003-1","Creator","3 in 1",2013,"Red Rotors",,145,9.99,14.99,17.99,,5702014971950,673419189781,19.1,14.1,4.6,0.21,"",0,0,0,,0,0,,,,,,,,,13.5400,4.0300,"01/01/2013","31/12/2014"
"31004-1","Creator","3 in 1",2013,"Fierce Flyer",,166,9.99,14.99,17.99,,5702014971882,673419189712,19.1,14.1,4.6,0.2,"",0,0,0,,0,0,,,,,,,,,32.6300,10.9800,"",""
"31005-1","Creator","3 in 1",2013,"Construction Hauler",,256,12.99,17.99,19.99,,5702014971967,673419189798,26.2,14.1,4.8,0.34,"",0,0,0,,0,0,,,,,,,,,31.7100,7.3800,"",""
"31006-1","Creator","3 in 1",2013,"Highway Speedster",,286,14.99,24.99,29.99,,5702014971974,673419189804,26.2,19.1,7.2,0.51,"",0,0,0,,0,0,,,,,,,,,23.8000,10.5000,"01/01/2013","31/12/2014"
"31007-1","Creator","3 in 1",2013,"Power Mech",,223,14.99,19.99,24.99,,5702014972001,673419189835,26.2,19.1,4.6,0.39,"",0,0,0,,0,0,,,,,,,,,26.9500,11.0600,"",""
"31008-1","Creator","3 in 1",2013,"Thunder Wings",,235,14.99,19.99,24.99,,5702014972018,673419189842,26.2,19.1,6.1,0.48,"",0,0,0,,0,0,,,,,,,,,31.0000,23.7200,"",""
"31009-1","Creator","3 in 1",2013,"Small Cottage",1,271,19.99,24.99,29.99,,5702014971523,673419189651,28.2,26.2,6.4,0.64,"",0,0,0,,0,0,,,,,,,,,37.2800,21.0400,"01/01/2013","31/12/2014"
"31010-1","Creator","3 in 1",2013,"Treehouse",1,356,24.99,29.99,39.99,29.99,5702014971554,673419189682,28.194,26.1874,6.4008,0.74,"",0,0,0,,0,0,,,,,,,,,49.5000,18.8800,"01/06/2013","31/12/2015"
"31011-1","Creator","3 in 1",2013,"Aviation Adventures",,618,49.99,59.99,79.99,,5702014972025,673419189859,37.8,35.4,7.1,1.22,"",0,0,0,,0,0,,,,,,,,,76.3800,39.5000,"01/06/2013","31/12/2014"
